ym,target,tmean_lag0,tmean_lag1,tmean_lag2,dtr_lag0,rh_lag0,precip_lag0,roll3,clim_target,clim_lag0,anomaly_lag0,sin_month,cos_month,trend,target_date,target_month,persistence_ref
2003-03-01,10.566666666666666,10.854727923268864,11.67864006406372,11.871869939512312,9.587096774193549,73.1923076923077,114.4,11.468412642281633,10.826995775145097,11.388683087321095,-0.5339551640522302,0.8660254037844387,-0.4999999999999998,2,2003-04-01,4,10.854727923268864
2003-04-01,8.955644968149203,10.566666666666666,10.854727923268864,11.67864006406372,12.253333333333334,62.89666666666667,46.1,11.033344884666418,9.487295615757262,10.826995775145097,-0.26032910847843027,0.49999999999999994,-0.8660254037844387,3,2003-05-01,5,10.566666666666666
2003-05-01,6.59,8.955644968149203,10.566666666666666,10.854727923268864,13.07741935483871,58.223333333333336,36.7,10.12567985269491,8.192644659112537,9.487295615757262,-0.5316506476080587,1.2246467991473532e-16,-1.0,4,2003-06-01,6,8.955644968149203
2003-06-01,7.216129032258065,6.59,8.955644968149203,10.566666666666666,15.28,57.6,4.8,8.704103878271956,7.983261416161205,8.192644659112537,-1.6026446591125367,-0.4999999999999997,-0.8660254037844388,5,2003-07-01,7,6.59
2003-07-01,8.23346597768219,7.216129032258065,6.59,8.955644968149203,15.587096774193547,58.3,0.2,7.587258000135756,9.079969117186412,7.983261416161205,-0.7671323839031396,-0.8660254037844385,-0.5000000000000004,6,2003-08-01,8,7.216129032258065
2003-08-01,9.758764391465622,8.23346597768219,7.216129032258065,6.59,15.083870967741936,58.38,9.6,7.346531669980085,10.51469264889067,9.079969117186412,-0.8465031395042217,-1.0,-1.8369701987210297e-16,7,2003-09-01,9,8.23346597768219
2003-09-01,11.701788245783229,9.758764391465622,8.23346597768219,7.216129032258065,14.079999999999998,55.99310344827586,42.900000000000006,8.402786467135293,11.872569780453802,10.51469264889067,-0.7559282574250474,-0.8660254037844386,0.5000000000000001,8,2003-10-01,10,9.758764391465622
2003-10-01,12.742476513524142,11.701788245783229,9.758764391465622,8.23346597768219,13.367741935483872,53.56551724137931,25.4,9.898006204977014,12.66083487766106,11.872569780453802,-0.17078153467057255,-0.5000000000000004,0.8660254037844384,9,2003-11-01,11,11.701788245783229
2003-11-01,12.583034749911912,12.742476513524142,11.701788245783229,9.758764391465622,13.76,52.20769230769231,8.6,11.40100971692433,12.248392785430832,12.66083487766106,0.08164163586308248,-2.4492935982947064e-16,1.0,10,2003-12-01,12,12.742476513524142
2004-01-01,11.471832876859315,10.705691463160111,12.583034749911912,12.742476513524142,8.529032258064515,77.9962962962963,208.9,12.010400908865387,11.351122389516888,11.540083370849548,-0.8343919076894366,0.8660254037844386,0.5000000000000001,12,2004-02-01,2,10.705691463160111
2004-02-01,11.946501000118387,11.471832876859315,10.705691463160111,12.583034749911912,9.558620689655173,71.48846153846154,125.2,11.586853029977112,11.388683087321095,11.351122389516888,0.12071048734242673,1.0,6.123233995736766e-17,13,2004-03-01,3,11.471832876859315
2004-03-01,10.915923527829687,11.946501000118387,11.471832876859315,10.705691463160111,10.638709677419357,66.07000000000001,115.5,11.37467511337927,10.826995775145097,11.388683087321095,0.557817912797292,0.8660254037844387,-0.4999999999999998,14,2004-04-01,4,11.946501000118387
2004-04-01,8.903225806451612,10.915923527829687,11.946501000118387,11.471832876859315,11.893333333333334,65.45555555555555,29.2,11.44475246826913,9.487295615757262,10.826995775145097,0.08892775268459019,0.49999999999999994,-0.8660254037844387,15,2004-05-01,5,10.915923527829687
2004-05-01,7.131754013356173,8.903225806451612,10.915923527829687,11.946501000118387,15.64516129032258,51.225806451612904,6.2,10.588550111466562,8.192644659112537,9.487295615757262,-0.5840698093056496,1.2246467991473532e-16,-1.0,16,2004-06-01,6,8.903225806451612
2004-06-01,7.274651298262789,7.131754013356173,8.903225806451612,10.915923527829687,15.040000000000001,52.83793103448276,0.0,8.98363444921249,7.983261416161205,8.192644659112537,-1.0608906457563636,-0.4999999999999997,-0.8660254037844388,17,2004-07-01,7,7.131754013356173
2004-07-01,8.458620689655174,7.274651298262789,7.131754013356173,8.903225806451612,14.496774193548386,55.317241379310346,10.2,7.769877039356859,9.079969117186412,7.983261416161205,-0.7086101178984157,-0.8660254037844385,-0.5000000000000004,18,2004-08-01,8,7.274651298262789
2004-08-01,10.528378330791933,8.458620689655174,7.274651298262789,7.131754013356173,13.28,62.88965517241379,43.0,7.621675333758046,10.51469264889067,9.079969117186412,-0.6213484275312382,-1.0,-1.8369701987210297e-16,19,2004-09-01,9,8.458620689655174
2004-09-01,11.977362487092817,10.528378330791933,8.458620689655174,7.274651298262789,13.313333333333334,58.11785714285714,34.3,8.753883439569966,11.872569780453802,10.51469264889067,0.01368568190126318,-0.8660254037844386,0.5000000000000001,20,2004-10-01,10,10.528378330791933
2005-02-01,11.735286983933888,10.966251236345173,12.081070356680097,12.86803534237231,9.642857142857142,71.65416666666667,157.9,11.971785645132528,11.388683087321095,11.351122389516888,-0.3848711531717157,1.0,6.123233995736766e-17,25,2005-03-01,3,10.966251236345173
2005-03-01,11.070444582833701,11.735286983933888,10.966251236345173,12.081070356680097,10.74927697441602,65.692,134.6,11.594202858986387,10.826995775145097,11.388683087321095,0.3466038966127929,0.8660254037844387,-0.4999999999999998,26,2005-04-01,4,11.735286983933888
2005-04-01,9.226666666666667,11.070444582833701,11.735286983933888,10.966251236345173,12.309195402298851,62.614285714285714,45.7,11.257327601037588,9.487295615757262,10.826995775145097,0.24344880768860477,0.49999999999999994,-0.8660254037844387,27,2005-05-01,5,11.070444582833701
2005-05-01,6.59,9.226666666666667,11.070444582833701,11.735286983933888,15.138924731182795,52.88333333333333,0.4,10.677466077811419,8.192644659112537,9.487295615757262,-0.2606289490905951,1.2246467991473532e-16,-1.0,28,2005-06-01,6,9.226666666666667
2005-06-01,7.953333333333333,6.59,9.226666666666667,11.070444582833701,16.753333333333334,52.57666666666667,0.0,8.962370416500123,7.983261416161205,8.192644659112537,-1.6026446591125367,-0.4999999999999997,-0.8660254037844388,29,2005-07-01,7,6.59
2005-07-01,8.517241379310345,7.953333333333333,6.59,9.226666666666667,16.228602150537636,47.873333333333335,0.0,7.923333333333335,9.079969117186412,7.983261416161205,-0.029928082827871627,-0.8660254037844385,-0.5000000000000004,30,2005-08-01,8,7.953333333333333
2005-08-01,10.195223536540245,8.517241379310345,7.953333333333333,6.59,16.65717463848721,46.679310344827584,0.0,7.686858237547892,10.51469264889067,9.079969117186412,-0.5627277378760667,-1.0,-1.8369701987210297e-16,31,2005-09-01,9,8.517241379310345
2005-09-01,11.641948725570547,10.195223536540245,8.517241379310345,7.953333333333333,14.613333333333333,48.88965517241379,11.8,8.888599416394642,11.872569780453802,10.51469264889067,-0.31946911235042386,-0.8660254037844386,0.5000000000000001,32,2005-10-01,10,10.195223536540245
